Suburb,Postcode,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr)
Riverwood,2210,995000,550 ,600000,493 ,1000000,1100000,-9.09,600500,634000,-5.28
Rockdale,2216,1100000,620 ,645000,530 ,1100000,1352500,-18.67,645500,665000,-2.93
Rodd Point,2046,2185000,785 ,no data,no data,2395000,2350000,1.91,0,0,0.0
Rooty Hill,2766,650000,430 ,575000,440 ,660000,701500,-5.92,597000,592500,0.76
Rose Bay,2029,3612500,"1,400 ",1227500,675 ,3612500,4300000,-15.99,1250000,1260000,-0.79
Rosebery,2018,1575000,850 ,768075,650 ,1600000,1533000,4.37,773000,836000,-7.54
Rosehill,2142,no data,490 ,423000,420 ,2483333,1027500,141.69,486000,562500,-13.6
Roselands,2196,950000,550 ,550000,410 ,951000,1131875,-15.98,579000,505000,14.65
Rosemeadow,2560,576000,400 ,495000,320 ,587500,595000,-1.26,500000,517500,-3.38
Roseville,2069,2875000,950 ,1000000,610 ,2850000,2940000,-3.06,1000000,989000,1.11
Rouse Hill,2155,1137500,600 ,no data,540 ,1160000,1145000,1.31,691000,790000,-12.53
Rozelle,2039,1585000,810 ,1303000,650 ,1592500,1640000,-2.9,1361250,1150000,18.37
Ruse,2560,601000,435 ,no data,no data,604541,629500,-3.96,0,512750,-100.0
Rushcutters Bay,2011,no data,no data,839500,600 ,3417500,0,0.0,762000,707000,7.78
Russell Lea,2046,1845000,820 ,795000,540 ,1850000,2260000,-18.14,805000,891000,-9.65
Russell Vale,2517,846000,530 ,no data,350 ,846000,765000,10.59,590000,600000,-1.67
Rydalmere,2116,1140000,500 ,730750,450 ,1210000,1205000,0.41,730750,670000,9.07
Ryde,2112,1425000,673 ,650000,510 ,1480000,1685000,-12.17,660000,665000,-0.75
Sadleir,2168,650000,400 ,no data,no data,650000,645000,0.78,0,0,0.0
San Remo,2262,457500,373 ,no data,315 ,460000,452500,1.66,0,0,0.0
Sandringham,2219,2325000,640 ,870000,510 ,2235000,1947500,14.76,870000,870000,0.0
Sans Souci,2219,1446250,630 ,785500,470 ,1490000,1500000,-0.67,790000,826000,-4.36
Saratoga,2251,827500,500 ,no data,no data,803000,743000,8.08,682500,0,0.0
Scarborough,2515,no data,no data,no data,no data,1100000,1575000,-30.16,0,0,0.0
Schofields,2762,844000,560 ,no data,500 ,846000,860000,-1.63,697500,656000,6.33
Scotland Island,2105,1190000,no data,no data,no data,1100000,925000,18.92,0,0,0.0
Seaforth,2092,2825000,"1,250 ",1550000,738 ,2605000,2700000,-3.52,1560000,1603000,-2.68
Sefton,2162,820000,520 ,560000,400 ,842250,867000,-2.85,560000,470000,19.15
Seven Hills,2147,745000,420 ,650000,400 ,751500,790000,-4.87,645000,665000,-3.01
Shalvey,2770,527500,350 ,no data,no data,527500,530000,-0.47,0,0,0.0
Shanes Park,2747,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Shelly Beach,2261,922000,475 ,no data,no data,946000,765000,23.66,597500,0,0.0
Silverdale,2752,845000,525 ,no data,no data,845000,940000,-10.11,0,0,0.0
Silverwater,2128,740000,430 ,530000,450 ,760000,1062500,-28.47,530000,638000,-16.93
Silverwater,2264,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Smithfield,2164,725000,450 ,600500,380 ,737500,770000,-4.22,610000,581000,4.99
Somersby,2250,1462500,650 ,no data,no data,1405000,1300000,8.08,800000,0,0.0
South Hurstville,2221,1240000,590 ,650000,490 ,1245000,1335000,-6.74,670000,806250,-16.9
South Turramurra,2074,1540000,no data,no data,no data,1550000,1760000,-11.93,0,0,0.0
Speers Point,2284,680000,445 ,no data,348 ,710000,650000,9.23,414250,545000,-23.99
Spencer,2775,367500,no data,no data,no data,385000,380000,1.32,0,0,0.0
Springfield,2250,682500,485 ,no data,290 ,685000,650000,5.38,448750,495000,-9.34
Springwood,2777,680000,470 ,495500,350 ,680000,667500,1.87,450000,582500,-22.75
St Albans,2775,no data,no data,no data,no data,0,0,0.0,0,0,0.0
St Andrews,2566,615000,400 ,no data,no data,620000,645000,-3.88,0,430000,-100.0
St Clair,2330,no data,no data,no data,no data,0,0,0.0,0,0,0.0
St Clair,2759,690000,450 ,no data,343 ,692000,720000,-3.89,625000,677500,-7.75
St Helens Park,2560,582500,400 ,no data,no data,580000,593000,-2.19,425000,484500,-12.28
St Huberts Island,2257,1245000,648 ,no data,no data,1245000,1250000,-0.4,0,0,0.0
St Ives,2075,1930000,"1,025 ",935000,630 ,1959000,2077500,-5.7,937500,995000,-5.78
St Johns Park,2176,776500,475 ,no data,no data,793000,832500,-4.74,650000,0,0.0
St Leonards,2065,5338380,850 ,975000,630 ,5421262,6541666,-17.13,988000,900000,9.78
St Marys,2760,617500,370 ,445000,370 ,615500,660000,-6.74,450000,504250,-10.76
St Peters,2044,1215000,785 ,700000,595 ,1215000,1200000,1.25,755000,780000,-3.21
Stanhope Gardens,2768,912500,588 ,no data,445 ,920000,945000,-2.65,725000,0,0.0
Stanmore,2048,1550000,860 ,732500,485 ,1562500,1725000,-9.42,720000,730000,-1.37
Stanwell Park,2508,no data,720 ,no data,450 ,1360000,1550000,-12.26,987500,0,0.0
Stanwell Tops,2508,no data,no data,no data,no data,1095000,1060000,3.3,0,0,0.0
Strathfield,2135,2330000,700 ,700000,530 ,2407500,2360000,2.01,700000,740000,-5.41
Strathfield South,2136,1240000,675 ,538000,500 ,1268888,1586500,-20.02,595000,655000,-9.16
Summer Hill,2130,1450000,698 ,760000,490 ,1450000,1625000,-10.77,770000,730000,5.48
Surry Hills,2010,1625000,850 ,880000,620 ,1657500,1680000,-1.34,933500,868000,7.55
Sutherland,2232,992500,550 ,630000,470 ,1021000,1183500,-13.73,637000,668350,-4.69
Swansea,2281,590000,370 ,437350,320 ,585000,575750,1.61,430000,390000,10.26
Sydenham,2044,1172500,655 ,no data,480 ,1172500,1200000,-2.29,0,0,0.0
Sydney,2000,no data,900 ,950000,790 ,0,0,0.0,1001250,1082500,-7.51
Sylvania,2224,1200000,700 ,927000,495 ,1240000,1415000,-12.37,917000,865000,6.01
Sylvania Waters,2224,1880000,950 ,no data,520 ,2260500,2227500,1.48,665000,649000,2.47
Tahmoor,2573,605000,423 ,no data,360 ,612000,630000,-2.86,402000,397500,1.13
Tamarama,2026,no data,"2,075 ",1270000,850 ,6250000,4775000,30.89,1325000,1751500,-24.35
Taren Point,2229,1650000,700 ,no data,no data,1650000,1455000,13.4,633500,1007500,-37.12
Tarrawanna,2518,804000,525 ,no data,no data,805000,830000,-3.01,720000,771500,-6.68
Tascott,2250,664500,450 ,no data,no data,665000,732500,-9.22,0,0,0.0
Telopea,2117,1287000,550 ,673000,420 ,1286999,1390000,-7.41,673000,660000,1.97
Tempe,2044,1155000,650 ,no data,400 ,1175000,1222500,-3.89,1270000,939000,35.25
Tennyson,2754,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Tennyson Point,2111,2521000,"1,000 ",no data,no data,2493750,2815000,-11.41,0,1205000,-100.0
Teralba,2284,525500,473 ,no data,no data,510000,460000,10.87,375500,0,0.0
Terrey Hills,2084,1564000,949 ,no data,no data,1594000,1600000,-0.38,0,0,0.0
Terrigal,2260,937500,560 ,700000,500 ,950000,925500,2.65,715000,800000,-10.62
The Entrance,2261,635000,380 ,457500,370 ,635000,673000,-5.65,450000,475000,-5.26
The Hill,2300,no data,600 ,465000,380 ,1630000,1437500,13.39,463000,495000,-6.46
The Junction,2291,no data,475 ,no data,385 ,1555000,1250000,24.4,790000,544000,45.22
The Oaks,2570,715000,400 ,no data,no data,785000,760000,3.29,1200000,0,0.0
The Rocks,2000,no data,no data,no data,900 ,0,1850000,-100.0,1215000,1700000,-28.53
The Rocks,2795,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Thirlmere,2572,635000,440 ,no data,no data,664000,695000,-4.46,490000,0,0.0
Thirroul,2515,1118750,660 ,815000,490 ,1157500,1150000,0.65,850000,870000,-2.3
Thornleigh,2120,1230000,585 ,750000,500 ,1225000,1320000,-7.2,755000,755000,0.0
Tingira Heights,2290,530500,460 ,no data,no data,540500,530000,1.98,411500,0,0.0
Toongabbie,2146,800000,450 ,547500,450 ,800000,860000,-6.98,550000,568500,-3.25
Toowoon Bay,2261,no data,420 ,no data,350 ,1100000,955000,15.18,507500,573500,-11.51
Toronto,2283,453750,373 ,432500,365 ,455000,435000,4.6,440000,500000,-12.0
Toukley,2263,520000,360 ,380000,290 ,521000,525000,-0.76,377500,410000,-7.93
Towradgi,2518,910000,520 ,no data,350 ,910000,847500,7.37,600000,578000,3.81
Tregear,2770,492500,330 ,no data,no data,500000,515000,-2.91,320000,0,0.0
Tuggerah,2259,no data,380 ,no data,230 ,600000,530000,13.21,426000,389750,9.3
Tuggerawong,2259,582000,380 ,no data,no data,600000,611000,-1.8,0,0,0.0
Tumbi Umbi,2261,687500,450 ,no data,no data,699125,675000,3.57,485000,440000,10.23
Turramurra,2074,1967500,850 ,842500,553 ,1967500,1990000,-1.13,862750,836000,3.2
Turrella,2205,no data,600 ,698000,550 ,1020000,1277500,-20.16,695500,725000,-4.07
Ultimo,2007,no data,760 ,708000,600 ,1520000,1500000,1.33,710000,790000,-10.13
Umina Beach,2257,745000,420 ,572000,350 ,744500,740000,0.61,577500,600000,-3.75
Unanderra,2526,565000,423 ,no data,370 ,582500,600000,-2.92,560000,520000,7.69
Valentine,2280,775000,510 ,540000,390 ,757500,730750,3.66,532500,500000,6.5
Valley Heights,2777,635000,430 ,no data,no data,677500,702500,-3.56,0,514000,-100.0
Vaucluse,2030,5805000,"2,000 ",1280000,700 ,5280000,5250000,0.57,1280000,1282500,-0.19
Villawood,2163,715000,450 ,no data,350 ,720000,787500,-8.57,0,525000,-100.0
Vineyard,2765,no data,600 ,no data,no data,1375000,1201000,14.49,197500,182000,8.52
Wahroonga,2076,1850000,885 ,783000,550 ,1875000,2150000,-12.79,807500,820000,-1.52
Waitara,2077,no data,580 ,678000,500 ,1060000,1500000,-29.33,680000,720000,-5.56
Wakeley,2176,781250,465 ,no data,no data,803750,825000,-2.58,615000,585000,5.13
Wallacia,2745,750000,450 ,no data,no data,740000,704000,5.11,275000,271000,1.48
Wallsend,2287,503000,400 ,400000,363 ,503500,485000,3.81,400000,405000,-1.23
Wamberal,2260,1120000,575 ,1040000,410 ,1100000,1012500,8.64,1040000,700000,48.57
Wangi Wangi,2267,670000,400 ,no data,no data,695000,541955,28.24,0,337500,-100.0
Waratah,2298,585000,420 ,395500,285 ,601000,600000,0.17,381000,385000,-1.04
Wareemba,2046,1900000,800 ,no data,550 ,1900000,1935000,-1.81,951250,1070000,-11.1
Warilla,2528,540500,423 ,no data,330 ,560000,535500,4.58,480000,480000,0.0
Warners Bay,2282,640000,420 ,535000,435 ,650000,612500,6.12,560000,534000,4.87
Warragamba,2752,527500,385 ,no data,no data,527500,490000,7.65,0,0,0.0
Warrawee,2074,2980000,"1,225 ",798500,593 ,2900000,2800000,3.57,798500,810000,-1.42
Warrawong,2502,533000,400 ,no data,285 ,533000,520000,2.5,348750,373500,-6.63
Warriewood,2102,1515000,925 ,1030000,720 ,1565000,1650000,-5.15,1050000,1070000,-1.87
Warrimoo,2774,655000,420 ,no data,no data,655000,706250,-7.26,0,0,0.0
Warwick Farm,2170,no data,400 ,438000,360 ,640000,750000,-14.67,438000,427750,2.4
Watanobbi,2259,496250,400 ,no data,328 ,502000,490000,2.45,423000,385000,9.87
Waterfall,2233,no data,no data,no data,no data,822500,925000,-11.08,0,0,0.0
Waterloo,2017,1210000,715 ,770000,700 ,1225000,1255000,-2.39,783000,869992,-10.0
Watsons Bay,2030,no data,"2,800 ",no data,625 ,4065000,3600000,12.92,2100000,2427500,-13.49
Wattle Grove,2173,789750,525 ,no data,no data,800000,842000,-4.99,639000,702500,-9.04
Waverley,2024,2250000,"1,200 ",995000,625 ,2367500,2395000,-1.15,997500,887500,12.39
Waverton,2060,2681360,950 ,1075000,650 ,2681361,2290000,17.09,1075000,1260000,-14.68
Wedderburn,2560,no data,no data,no data,no data,1445000,1295000,11.58,0,0,0.0
Wendoree Park,2250,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Wentworth Falls,2782,688500,450 ,no data,no data,702500,690000,1.81,610000,680000,-10.29
Wentworthville,2145,925000,480 ,590000,440 ,930000,1030000,-9.71,590000,595000,-0.84
Werombi,2570,no data,no data,no data,no data,1470000,1250000,17.6,0,0,0.0
Werri Beach,2534,1187500,no data,no data,no data,1150000,1165000,-1.29,0,0,0.0
Werrington,2747,588000,430 ,456000,330 ,605000,666000,-9.16,470000,445000,5.62
Werrington County,2747,647500,410 ,no data,no data,648250,670000,-3.25,0,0,0.0
Werrington Downs,2747,660000,450 ,no data,no data,661000,655000,0.92,0,0,0.0
West Hoxton,2171,810000,550 ,no data,no data,810000,848750,-4.57,580000,0,0.0
West Pennant Hills,2125,1677500,670 ,1020000,400 ,1652500,1740000,-5.03,1015000,1100000,-7.73
West Pymble,2073,1642500,850 ,no data,no data,1657500,1850000,-10.41,0,0,0.0
West Ryde,2114,1433750,600 ,600500,400 ,1465000,1746000,-16.09,628500,680000,-7.57
West Wallsend,2286,527000,450 ,no data,no data,534500,461549,15.81,0,0,0.0
Westleigh,2120,1240000,710 ,no data,no data,1250000,1400000,-10.71,0,0,0.0
Westmead,2145,957500,480 ,560000,460 ,955000,1420000,-32.75,575000,575000,0.0
Wetherill Park,2164,780000,460 ,no data,480 ,785000,893000,-12.09,617500,589500,4.75
Whalan,2770,488000,340 ,no data,310 ,500000,550000,-9.09,0,0,0.0
Whale Beach,2107,no data,900 ,no data,no data,5300000,3200000,65.62,0,0,0.0
Wheeler Heights,2097,1403000,895 ,no data,433 ,1420000,1575000,-9.84,0,0,0.0
Whitebridge,2290,865000,440 ,no data,380 ,850000,692500,22.74,535000,510000,4.9
Wickham,2293,620000,450 ,604175,480 ,647500,777500,-16.72,611675,522650,17.03
Wilberforce,2756,812500,475 ,no data,no data,815000,862500,-5.51,0,0,0.0
Wiley Park,2195,655000,500 ,444500,360 ,666000,905000,-26.41,444500,429000,3.61
Willmot,2770,462500,320 ,no data,no data,485000,504000,-3.77,0,0,0.0
Willoughby,2068,2150000,950 ,872500,550 ,2125000,2342500,-9.28,887500,867500,2.31
Wilton,2571,935000,593 ,no data,no data,915000,850000,7.65,0,0,0.0
Windale,2306,385250,350 ,no data,no data,381500,380000,0.39,0,0,0.0
Windang,2528,780000,493 ,no data,340 ,800000,780000,2.56,450500,500000,-9.9
Windsor,2756,665000,430 ,no data,345 ,650000,642500,1.17,425000,0,0.0
Winmalee,2777,655000,470 ,no data,no data,667500,657500,1.52,0,0,0.0
Winston Hills,2153,950500,550 ,no data,no data,963000,1100000,-12.45,305715,378770,-19.29
Wisemans Ferry,2775,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Wolli Creek,2205,865000,no data,690000,620 ,852500,875150,-2.59,708500,775000,-8.58
Wollongong,2500,795000,500 ,585500,420 ,867500,890000,-2.53,585000,587500,-0.43
Wollstonecraft,2065,2800000,no data,999999,610 ,2725000,2617500,4.11,997499,1077500,-7.42
Wombarra,2515,1727500,700 ,no data,no data,1773750,1430000,24.04,0,0,0.0
Woodbine,2560,613500,400 ,no data,no data,613500,651000,-5.76,0,0,0.0
Woodcroft,2767,700000,480 ,no data,530 ,702500,650000,8.08,595000,0,0.0
Woodrising,2284,448000,385 ,no data,no data,450000,426250,5.57,0,0,0.0
Woollahra,2025,3200000,"1,400 ",1217000,685 ,3300000,3300000,0.0,1217000,1475000,-17.49
Woolloomooloo,2011,no data,800 ,1015000,650 ,1375000,1396500,-1.54,1020000,1185000,-13.92
Woolooware,2230,1702500,830 ,730000,550 ,1725000,1785000,-3.36,730000,703000,3.84
Woolwich,2110,no data,no data,no data,no data,4242500,5850000,-27.48,778500,1012000,-23.07
Woonona,2517,880000,550 ,661000,420 ,867500,920000,-5.71,663250,630000,5.28
Woronora,2232,1000000,650 ,no data,no data,980000,1300000,-24.62,790500,0,0.0
Woronora Heights,2233,1100000,750 ,no data,no data,1150000,1232500,-6.69,0,682500,-100.0
Woy Woy,2256,675000,420 ,520000,350 ,675000,685500,-1.53,532500,555000,-4.05
Wyoming,2250,598000,410 ,415500,340 ,613000,610000,0.49,445000,417500,6.59
Wyong,2259,545000,400 ,386000,330 ,550000,560000,-1.79,382000,350000,9.14
Wyongah,2259,495000,395 ,no data,no data,500000,516000,-3.1,0,389000,-100.0
Yagoona,2199,840000,500 ,549500,430 ,840000,891500,-5.78,547500,540000,1.39
Yarramundi,2753,no data,no data,no data,no data,1220000,1235000,-1.21,0,0,0.0
Yarrawarrah,2233,942000,no data,no data,no data,942000,1112500,-15.33,850000,0,0.0
Yattalunga,2251,no data,no data,no data,no data,778000,638750,21.8,0,0,0.0
Yellow Rock,2777,815000,no data,no data,no data,665000,660000,0.76,0,0,0.0
Yennora,2161,no data,420 ,no data,no data,840000,820000,2.44,0,0,0.0
Yerrinbool,2575,650000,no data,no data,no data,670000,630000,6.35,0,0,0.0
Yowie Bay,2228,1550000,850 ,no data,no data,1625500,1887500,-13.88,1120000,1720000,-34.88
Zetland,2017,1380000,850 ,905000,750 ,1380000,1510000,-8.61,900000,955000,-5.76
