Suburb,Total
Canoelands,2
Canonba,2
Canowindra,144
Canterbury,567
Canton Beach,106
Canyonleigh,14
Caparra,4
Capoompeta,0
Captains Flat,17
Carabost,0
Caragabal,8
Carcalgong,0
Carcoar,15
Cardiff Heights,32
Cardiff South,82
Carey Bay,43
Cargo,10
Carinda,21
Caringbah,1435
Caringbah South,232
Carlaminda,0
Carlton,467
Carnes Hill,180
Carnham,0
Carool,2
Caroona,13
Carrabolla,2
Carrai,0
Carramar,455
Carrathool,25
Carrick,10
Carrington (Mid-Coast),1
Carrington (Newcastle),168
Carrington Falls,12
Carroll,13
Carrowbrook,0
Carrs Creek,10
Carrs Island,0
Carrs Peninsula,4
Carss Park,48
Cartwrights Hill,10
Carwell,0
Cascade,1
Casino,1835
Cassilis,40
Castle Cove,34
Castle Doyle,4
Castle Hill,1631
Castle Rock,10
Castlecrag,34
Casuarina,81
Catalina,162
Cataract,28
Cathcart,0
Catherine Field,43
Catherine Hill Bay,43
Cathundral,0
Cattai,22
Cattle Creek,0
Cavan,0
Caves Beach,150
Cawdor,52
Cawongla,8
Cecil Hills,180
Cecil Park,24
Cedar Brush Creek,5
Cedar Creek (Cessnock),1
Cedar Creek (Tweed),0
Cedar Party,4
Cedar Point,5
Cells River,0
Centennial Park,437
Central Colo,1
Central Macdonald,1
Central Mangrove,16
Central Tilba,20
Chaelundi,0
Chain Valley Bay,52
Chakola,7
Chambigne,2
Charbon,12
Charles Sturt University,5
Charlestown,1435
Charleys Forest,7
Charlotte Bay,16
Charlton,0
Charmhaven,290
Chatham Valley,0
Chatsbury,1
Chatswood,3115
Chatswood West,24
Chatsworth,2
Cheero Point,2
Cheltenham,57
Cherry Tree Hill,5
Cherrybrook,246
Chester Hill,1142
Chichester,0
Chifley,155
Chilcotts Creek,0
Chilcotts Grass,7
Chillingham,14
Chinderah,277
Chinnock,0
Chippendale,799
Chipping Norton,456
Chisholm,81
Chiswick,73
Chittaway Bay,96
Chittaway Point,30
Chowan Creek,7
Chullora,95
Church Point,81
Clandulla,11
Clare,0
Claremont Meadows,180
Clarence,15
Clarendon,116
Clarenza,40
Clareville,17
Claymore,564
Clear Creek,7
Clear Range,0
Clearfield,0
Clemton Park,28
Clergate,4
Cleveland,0
Clifden,2
Cliftleigh,48
Clifton,36
Clifton Grove,23
Clontarf,58
Clouds Creek,7
Clovelly,178
Clunes,21
Clybucca,18
Clyde,158
Coal Point,43
Coalcliff,20
Coasters Retreat,18
Cobaki,9
Cobaki Lakes,5
Cobar,647
Cobar Park,1
Cobargo,37
Cobark,2
Cobbadah,7
Cobbitty,28
Cobramunga,0
Cockwhy,2
Codrington,2
Coffee Camp,2
Coggan,0
Cogra Bay,0
Coila,4
Coldstream,3
Coleambally,46
Colebee,100
Coledale,43
Colinroobie,0
Colinton,4
Collarenebri,99
Collaroy,282
Collaroy Plateau,72
Collector,12
Collendina,3
Collerina,0
Collingullie,17
Collingwood,0
Collins Creek,1
Collombatti,12
Collum Collum,0
Colly Blue,1
Colo (Bathurst Regional),0
Colo (Hawkesbury),7
Colo Heights,15
Colo Vale,32
Colongra,2
Comara,11
Combaning,2
Combara,0
Comberton,2
Comboyne,15
Come By Chance,2
Comerong Island,4
Commissioners Creek,1
Como,186
Comobella,1
Conargo,3
Concord,434
Concord West,192
Condell Park,508
Condobolin,571
Condong,12
Coneac,0
Congarinni,14
Congarinni North,7
Congewai,2
Congo,15
Conimbia,0
Coniston,610
Conjola,8
Conjola Park,11
Connells Point,51
Constitution Hill,245
Coogee,1016
Cookamidgera,3
Cookardinia,4
Cooks Gap,16
Cooks Hill,503
Cooks Myalls,0
Coolabah,19
Coolac,11
Coolagolite,7
Coolah,67
Coolamon,122
Coolangatta,9
Coolangubra,0
Coolatai,11
Coolgardie,3
Coolongolook,55
Coolringdon,5
Coolumbooka,1
Coolumburra,0
Cooma,455
Coomba Bay,3
Coomba Park,33
Coombadjha,2
Coombell,0
Coomealla,84
Coomoo Coomoo,0
Coongbar,2
Cooperabung,11
Coopernook,30
Coopers Gully,0
Coopers Shoot,9
Cooplacurripa,2
Coorabell,10
Cooranbong,279
Cootamundra,522
Cootralantra,1
Cooyal,2
Copacabana,73
Cope,10
Copeland,2
Copeton,5
Copmanhurst,7
Coppabella,0
Copperhannia,0
Coralville,9
Coramba,37
Corang,0
Corangula,0
Corbie Hill,0
Cordeaux,6
Cordeaux Heights,102
Coree,0
Coreen,2
Corindi Beach,103
Corinella,1
Corlette,205
Cornwallis,7
Corobimilla,0
Corowa,569
Corrabare,2
Corrong,0
Corrowong,0
Corunna,6
Cottage Point,7
Cottonvale,0
Cougal,3
Countegany,0
Courabyra,6
Couradda,0
Couragago,0
Coutts Crossing,30
Cow Flat,0
Cowabbie,1
Cowan,104
Cowper,10
Coxs Creek,3
Coxs Crown,0
Crabbes Creek,13
Crackenback,5
Craigie,1
Cranebrook,925
Crangan Bay,5
Craven,12
Craven Plateau,0
Crawford River,3
Crawney,2
Creewah,3
Cremorne,301
Cremorne Point,59
Crescent Head,175
Cringila,342
Croki,0
Cromer,175
Cronulla,2327
Crooble,2
Croobyar,3
Crooked Corner,3
Crookwell,71
Croppa Creek,3
Cross Roads,0
Crosslands,5
Croudace Bay,34
Crowdy Bay National Park,3
Crowdy Head,8
Crows Nest,427
Crowther,2
Croydon,328
Croydon Park,363
Crudine,4
Cryon,1
Crystal Creek,1
Cubba,0
Cudal,21
Cudgegong,12
Cudgel,3
Cudgen,30
Cudgera Creek,28
Cudmirrah,12
Culcairn,87
Cullen Bullen,35
Cullenbone,0
Cullendore,3
Cullerin,0
Cullivel,0
Culmaran Creek,1
Cumbalum,33
Cumbandry,1
Cumberland Reach,6
Cumbo,1
Cumnock,28
Cundle Flat,0
Cundletown,73
Cundumbul,0
Cunjurong Point,3
Cunningar,2
Cunninyeuk,2
Curban,5
Curl Curl,81
Curlewis,34
Curlwaa,32
Curra Creek,2
Currabubula,26
Curragh,0
Curramore,9
Currans Hill,202
Currarong,18
Currawang,3
Currawarna,11
Curraweela,0
Curricabark,0
Currowan,6
Cuttabri,3
Cuttagee,0
Dabee,2
Daceyville,105
Dairy Arm,0
Dairy Flat,2
Dairymans Plains,6
Daleys Point,26
Dalgety,17
Dalmeny,78
Dalmorton,5
Dalswinton,0
Dalton,9
Dalwood (Ballina),4
Dalwood (Singleton),2
Dandaloo,0
Dandry,1
Dangar Island,11
Dangarsleigh,0
Dangelong,0
Dapto,1205
Darawank,19
Darbalara,2
Darbys Falls,10
Dareton,197
Dargan,3
Dark Corner,1
Darkes Forest,4
Darkwood,1
Darling Point,131
Darlington (Singleton),17
Darlington (Sydney),177
Darlington Point,128
Darlow,0
Dartbrook,3
Daruka,20
Davidson,33
Davis Creek,0
Davistown,34
Dawes Point,71
Daysdale,0
Dean Park,110
Deauville,1
Debenham,1
Dee Why,1822
Deep Creek (Clarence Valley),3
Deep Creek (Kyogle),0
Deepwater,44
