Suburb,Population,Density (/km2),Area (km2)
Canley Vale,10216,3405,3 
Canoelands,299,,
Canterbury,7233,,
Cardiff,5830,1525.3,3.8 
Cardiff Heights,1443,902,1.6 
Cardiff South,2830,1769,1.6 
Caringbah,11658,,
Caringbah South,12242,,
Carlingford,24396,3088,7.9 
Carlton,10722,,
Carnes Hill,2043,,
Carramar,3550,,
Carss Park,1252,,
Cartwright,2370,,
Castle Cove,2554,1110,2.3 
Castle Hill,39594,,
Castlecrag,2939,1772.5,1.5 
Castlereagh,1171,,
Casula,15662,,
Catherine Field,1657,,
Cattai, 790,,
Caves Beach,4054,94,43 
Cawdor,434,,
Cecil Hills,7018,,
Cecil Park,771,,
Centennial Park,2376,1080,2.2 
Central MacDonald,0,,
Central Mangrove,286,,
Cessnock,21725,,
Charlestown,12912,1927,6.7 
Charmhaven,2325,,
Chatswood,24913,8591,2.9 
Chatswood West,1499,535,2.8 
Cheero Point,107,,
Cheltenham,2243,,
Cherrybrook,18765,,
Chester Hill,12814,,
Chifley,3233,,
Chippendale,8617,12310,0.7 
Chipping Norton,9001,,
Chiswick,2926,,
Chittaway Bay,2028,1690,1.2 
Chittaway Point,896,597,1.5 
Chullora,0,,
Church Point,997,1424,0.7 
Claremont Meadows,4776,,
Clareville,742,,
Clemton Park,1666,,
Clifton,28,,
Clontarf,1737,2171,0.8 
Clovelly,4736,,
Clyde,0,,
Coal Point,1730,1331,1.3 
Coalcliff,189,,
Cobbitty,2063,,
Colebee,1931,,
Coledale,1260,,
Collaroy,7870,,
Collaroy Plateau,4767,,
Colo Vale,1618,,
Colyton,7993,,
Como,3977,,
Concord,14533,,
Concord West,5914,,
Condell Park,11574,,
Coniston,2268,,
Connells Point,2829,,
Constitution Hill,3966,,
Coogee,15212,8006,1.9 
Cooks Hill,3621,4023,0.9 
Cooranbong,5449,1211,4.5 
Copacabana,2735,1189,2.3 
Cordeaux Heights,4559,1200,3.8 
Corrimal,6519,,
Corrimal East,0,,
Cottage Point,98,,
Cowan,649,75,8.7 
Cranebrook,15759,,
Cremorne,11227,6888,1.63 
Cremorne Point,2409,,
Cringila,2198,845,2.6 
Cromer,7592,,
Cronulla,18070,,
Crows Nest,4798,6313,0.76 
Croydon,10612,4422,2.4 
Croydon Park,11012,,
Cumberland Reach,197,,
Curl Curl,2414,,
Currans Hill,5309,,
Daceyville,1164,2910,0.4 
Daleys Point,681,2270,0.3 
Dangar Island,303,920.7,0.29 
Dapto,10730,,
Darling Point,4190,6254,0.67 
Darlinghurst,11320,11470.0,0.8 
Darlington,3097,4486,0.5 
Davidson,2849,,
Davistown,2488,1555,1.6 
Dawes Point,357,3570,0.1 
Dean Park,3227,,
Dee Why,21518,,
Denham Court,1981,,
Denistone,3751,,
Denistone East,2250,,
Denistone West,933,3110,0.3 
Dharruk,2774,,
Dolans Bay,598,,
Dolls Point,1661,,
Doonside,13451,,
Dora Creek,1643,714,2.3 
Double Bay,4642,5876,0.79 
Douglas Park,1362,,
Dover Heights,3802,,
Drummoyne,11950,5173,2.31 
Dudley,2414,473,5.1 
Duffys Forest,474,,
Dulwich Hill,13715,6531,2.1 
Dundas,4740,3646,1.3 
Dundas Valley,5412,,
Dural,7570,,
Eagle Vale,5788,,
Earlwood,17741,,
East Corrimal,3405,,
East Gosford,4238,2018,2.1 
East Hills,3206,,
East Killara,2978,931,3.2 
East Kurrajong,2195,,
East Lindfield,3711,,
East Ryde,2454,,
Eastern Creek,827,,
Eastgardens,860,7630,0.2 
Eastlakes,6912,8640,0.8 
Eastwood,17865,3436,5.2 
Ebenezer,968,,
Edensor Park,9772,,
Edgecliff,2580,8062,0.32 
Edgeworth,6207,913,6.8 
Edmondson Park,2271,,
Elanora Heights,4357,,
Elderslie,6005,,
Eleebana,5760,1477,3.9 
Elermore Vale,5526,2125,2.6 
Elizabeth Bay,5215,16493.3,0.3 
Ellalong,1098,,
Ellis Lane,808,,
Elvina Bay,86,,
Emerton,2252,2815,0.8 
Empire Bay,2274,2067,1.1 
Emu Heights,3289,956,3.44 
Emu Plains,8421,1063,7.92 
Enfield,2833,,
Engadine,17375,,
Englorie Park,416,3703,0.11235 
Enmore,3880,8405,0.4 
Epping,23688,3463,6.84 
Erina,4774,734,6.5 
Erina Heights,421,,
Ermington,10737,2386,4.5 
Erskine Park,6436,,
Erskineville,8014,5246.4,1.6 
Eschol Park,2582,,
Ettalong Beach,4793,2819,1.7 
Eveleigh,663,,
Fairfield,18081,4109,4.4 
Fairfield East,5273,,
Fairfield Heights,7517,,
Fairfield West,11575,3617,3.2 
Fairlight,5840,,
Fairy Meadow,7405,1683,4.4 
Farmborough Heights,4198,,
Faulconbridge,4025,,
Fennell Bay,1474,388,3.8 
Fernhill,1023,,
Figtree,11564,,
Five Dock,9356,3819,2.45 
Floraville,1856,1092,1.7 
Forest Lodge,4583,15277,0.3 
Forestville,8329,,
Forresters Beach,2900,1160,2.5 
Fountaindale,631,,
Freemans Reach,1973,,
Frenchs Forest,13473,1481,9.1 
Freshwater,8866,4926,1.8 
Galston,3139,,
Garden Suburb,1910,1592,1.2 
Gateshead,3145,1165,2.7 
Georges Hall,9038,2658,3.4 
Gerringong,3966,,
Gerroa,673,,
Girraween,5590,,
Gladesville,11827,3379,3.5 
Glebe,11532,6407,1.8 
Glen Alpine,4559,,
Glenbrook,5051,,
Glendale,3097,885,3.5 
Glendenning,5131,,
Glenfield,9633,,
Glenhaven,6501,,
Glenmore,122,,
Glenmore Park,23004,2772,8.3 
Glenning Valley,2050,,
Glenorie,3497,,
Glenwood,16130,,
Glossodia,2828,,
Gordon,7668,2023,3.79 
Gorokan,7684,2479,3.1 
Gosford,3499,,
Granville,15332,4646,3.3 
Grasmere,1712,,
Grays Point,3125,,
Great Mackerel Beach,36,,
Green Valley,12516,,
Greenacre,24373,,
Greendale,352,,
Greenfield Park,5092,,
Greenwich,5613,3302,1.7 
Gregory Hills,4985,,
Greystanes,22802,2534,9 
Grose Vale,1265,,
Grose Wold,632,,
Guildford,22331,,
Guildford West,4916,,
Gunderman,137,,
