Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2207,Bexley North,South-west,11.7,-33.938319999999976,151.11418000000003,4097,,,204,1265000,600 ,no data,460 ,1247500,1357000,-8.07,750000,681000,10.13,0,0,5,1,0,0,1,1
2770,Bidwill,West,38.7,-33.729209999999966,150.82096,4280,,,784,539000,350 ,no data,no data,510000,550000,-7.27,402500,0,0.0,0,0,1,1,0,0,2,0
2758,Bilpin,North-west,75.6,-33.497789999999945,150.52086000000008,665,,,30,no data,no data,no data,no data,898000,940000,-4.47,0,0,0.0,0,0,1,0,0,0,0,0
2041,Birchgrove,North-west,2.9,-33.85185999999993,151.1809900000001,3303,5505.0,0.6 ,166,1925000,950 ,990000,550 ,1900000,2062000,-7.86,990000,1450000,-31.72,1,0,1,3,2,0,0,0
2143,Birrong,West,17.3,-33.89235999999994,151.02068000000008,3103,,,528,840000,510 ,no data,no data,861000,900000,-4.33,0,671250,-100.0,0,0,0,0,2,0,1,1
2283,Blackalls Park,North,102.6,-32.99707999999998,151.58147000000008,2763,891.0,3.1 ,127,450000,360 ,no data,no data,450000,449500,0.11,459500,397000,15.74,0,0,1,0,0,0,0,0
2770,Blackett,West,39.3,-33.739549999999944,150.8149800000001,3452,,,549,498000,330 ,no data,313 ,510000,545000,-6.42,0,0,0.0,0,0,0,0,0,0,1,0
2785,Blackheath,West,89.2,-33.63367999999997,150.28474000000006,4396,,,178,580000,410 ,no data,no data,570000,600000,-5.0,0,0,0.0,0,0,9,2,0,0,2,1
2281,Blacksmiths,North-east,96.9,-33.079939999999965,151.6510800000001,1844,1024.0,1.8 ,152,790000,428 ,no data,no data,751500,642000,17.06,356000,460000,-22.61,0,0,2,1,1,0,0,1
2148,Blacktown,West,29.7,-33.77194999999995,150.90827000000004,47176,,,16453,692000,415 ,482500,400 ,699995,733000,-4.5,485000,510000,-4.9,3,0,27,0,2,0,10,0
2256,Blackwall,North,42.0,-33.50367999999997,151.33014000000003,1738,1448.0,1.2 ,165,700000,410 ,520000,350 ,700000,720000,-2.78,520000,570000,-8.77,0,0,1,0,0,0,0,0
