Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Hamilton North,0,0,3,1,1,0,2,1
Hamilton South,0,0,1,0,1,0,1,0
Hamlyn Terrace,0,0,0,0,0,0,1,0
Hammondville,0,0,3,0,0,0,2,0
Hardys Bay,0,0,3,0,0,0,1,1
Harrington Park,0,0,1,0,1,0,3,0
Harris Park,0,0,6,0,1,0,0,0
Hassall Grove,0,0,1,0,1,0,2,0
Haymarket,2,0,79,3,2,0,7,7
Hazelbrook,0,0,2,0,0,0,2,1
Heathcote,0,0,2,1,0,0,2,1
Hebersham,0,0,0,0,1,0,0,0
Heckenberg,0,0,0,0,0,0,1,0
Henley,0,0,0,0,2,0,1,1
Highfields,0,0,2,1,3,0,0,0
Hillsdale,0,0,0,0,2,0,2,0
Hinchinbrook,0,0,4,0,0,0,3,0
Hobartville,0,0,1,2,0,0,0,0
Holgate,0,0,1,0,0,0,0,0
Holmesville,1,0,0,0,0,0,0,0
Holroyd,1,0,0,0,1,0,0,0
Holsworthy,0,0,0,0,1,0,0,4
Homebush,0,0,9,1,0,0,3,1
Homebush Bay,2,0,19,0,2,0,1,0
Homebush West,1,0,5,2,1,0,5,1
Hornsby,3,0,21,0,2,0,1,0
Hornsby Heights,0,0,0,0,1,0,2,0
Horsfield Bay,0,0,0,0,0,0,1,0
Horsley,0,0,2,0,0,0,0,0
Horsley Park,0,0,1,0,1,0,0,0
Hoxton Park,1,0,1,0,0,0,1,0
Hunters Hill,0,0,5,0,1,0,0,0
Huntingwood,0,0,0,0,0,0,1,0
Huntleys Cove,0,0,0,0,3,0,1,0
Huntleys Point,0,0,0,1,2,0,0,2
Hurlstone Park,0,0,3,0,1,1,2,0
Hurstville,1,0,31,1,2,0,8,1
Hurstville Grove,0,0,1,0,0,0,3,0
Illawong,0,0,2,0,0,0,2,0
Ingleburn,0,0,0,0,0,0,1,0
Ingleside,0,0,0,0,1,0,1,0
Islington,1,0,13,2,0,0,2,0
Jamberoo,0,0,1,1,1,0,0,0
Jamisontown,0,0,5,1,3,0,5,0
Jannali,0,0,10,0,0,0,1,0
Jesmond,0,0,10,1,0,0,3,2
Jewells,0,0,1,1,0,0,1,0
Jordan Springs,0,0,1,0,2,0,1,0
Kanahooka,0,0,0,0,1,0,0,0
Kangaroo Valley,0,0,2,0,0,0,1,2
Kanwal,1,0,0,0,0,0,2,0
Kareela,0,0,3,0,0,0,2,0
Kariong,0,0,2,1,0,0,3,0
Katoomba,1,0,15,3,1,1,6,3
Kearns,0,0,2,1,2,0,1,0
Keiraville,0,0,3,0,0,0,1,0
Kellyville,0,0,4,0,0,0,1,0
Kellyville Ridge,0,0,1,1,1,0,1,2
Kemps Creek,0,0,0,0,0,0,2,0
Kensington,0,0,13,1,4,0,3,2
Kenthurst,0,0,1,0,0,0,0,0
Kentlyn,0,0,1,0,0,0,2,0
Kiama,0,0,2,0,1,0,1,2
Kiama Downs,1,0,3,0,0,0,0,0
Killara,0,0,1,1,1,0,0,1
Killarney Heights,0,0,4,0,1,0,0,0
Killarney Vale,0,0,0,0,0,0,4,0
Killcare,0,0,3,0,0,0,1,1
Killcare Heights,0,0,2,0,0,0,0,2
Kincumber,0,0,3,1,0,0,1,0
Kincumber South,0,0,0,0,2,0,1,0
Kings Langley,0,0,5,0,0,0,5,0
Kings Park,0,0,3,1,1,0,0,0
Kingsford,0,0,35,1,2,0,2,0
Kingsgrove,0,0,1,0,0,0,0,0
Kirkham,0,0,0,0,1,0,0,0
Kirrawee,0,0,4,1,0,0,1,0
Kirribilli,6,0,27,6,8,0,3,3
Kogarah,0,0,18,1,0,0,3,2
Kogarah Bay,0,0,2,0,1,0,1,0
Koolewong,0,0,1,0,2,0,0,1
Koonawarra,0,0,1,0,0,0,0,0
Kotara,1,0,14,0,1,0,13,0
Kotara South,0,0,1,0,2,0,1,0
Kurmond,0,0,1,0,0,0,0,0
Kurnell,1,0,2,0,5,0,1,0
Kurraba Point,0,0,2,0,5,0,1,3
Kurrajong,0,0,0,0,0,0,1,0
Kurrajong Heights,0,0,1,1,0,0,0,0
Kurrajong Hills,0,0,1,0,0,0,0,0
Kyeemagh,0,0,1,1,4,0,0,0
Kyle Bay,0,0,2,1,2,0,0,0
La Perouse,3,0,5,0,4,0,0,1
Lake Haven,0,0,2,0,0,0,3,0
Lake Heights,0,0,1,0,0,0,0,0
Lake Illawarra,1,0,0,0,2,0,2,0
Lake Munmorah,0,0,0,0,0,0,0,1
Lakelands,0,0,2,0,2,0,1,0
Lakemba,0,0,5,0,0,0,3,1
Lalor Park,0,0,2,0,2,0,2,0
Lambton,1,0,1,1,1,0,2,0
Lane Cove,0,0,16,2,5,0,3,0
Lane Cove North,0,0,3,0,0,0,2,0
Lane Cove West,0,0,5,0,0,0,2,0
Lansdowne,0,0,1,0,0,0,2,0
Lansvale,0,0,3,0,1,0,0,0
Lapstone,0,0,0,1,1,0,0,0
Lavender Bay,1,0,30,5,4,0,1,0
Lawson,0,0,4,1,0,0,0,1
Leichhardt,2,0,29,3,2,0,9,1
Leonay,0,0,0,1,3,0,0,0
Leppington,0,0,0,1,0,0,3,0
Leumeah,1,0,0,2,1,0,1,1
Leura,0,0,17,1,1,0,12,2
Lewisham,0,0,6,1,5,0,4,2
Liberty Grove,0,0,1,0,3,0,1,1
Lidcombe,1,0,13,1,3,0,0,2
Lilyfield,1,0,7,1,1,1,5,3
Linden,0,0,0,0,1,0,0,0
Lindfield,0,0,13,0,0,0,2,1
Linley Point,1,0,0,0,2,0,1,0
Lisarow,0,0,0,0,0,0,2,0
Little Bay,0,0,3,0,3,0,1,0
Liverpool,0,0,19,0,1,0,7,0
Llandilo,0,0,1,0,0,0,1,0
Loftus,0,0,1,0,2,0,0,1
Londonderry,0,0,2,0,0,1,0,0
Long Jetty,0,0,3,1,0,0,0,0
Longueville,0,0,0,1,2,0,1,0
Luddenham,0,0,1,0,0,0,0,0
Lugarno,0,0,3,0,0,0,1,0
Lurnea,0,0,3,0,0,0,3,0
MacMasters Beach,0,0,0,0,1,0,0,0
MacQuarie Links,0,0,0,0,1,0,1,0
Macquarie Fields,0,0,3,0,2,0,2,0
Macquarie Park,1,0,7,0,1,0,8,0
Malabar,1,0,6,0,2,0,0,1
Mangerton,0,0,0,0,0,0,1,0
Mangrove Mountain,0,0,0,0,1,0,1,0
Manly,1,0,48,9,5,0,2,2
Manly Vale,0,0,3,0,2,0,2,1
Marayong,0,0,1,1,0,0,1,0
Mardi,1,0,10,0,1,0,8,0
Marks Point,0,0,0,0,2,0,1,0
Marmong Point,1,0,0,0,4,0,0,0
Maroubra,0,0,15,0,2,0,7,0
Marrickville,1,0,17,5,4,0,4,0
Marsfield,0,0,1,0,2,0,0,1
Mascot,0,0,12,0,1,0,1,0
Matraville,0,0,3,0,1,0,3,0
Mays Hill,1,0,1,0,1,0,0,1
McGraths Hill,0,0,0,0,0,0,3,0
McMahons Point,0,0,4,2,7,0,0,2
Meadowbank,0,0,5,0,3,0,4,1
Melrose Park,0,0,0,0,3,0,0,0
Menai,0,0,11,0,3,0,9,1
Menangle,0,0,1,0,0,0,1,1
Menangle Park,0,0,1,0,0,0,0,0
Merewether,0,0,1,2,1,0,2,0
Merewether Heights,0,0,0,0,0,0,1,0
Merrylands,0,0,13,2,0,0,10,2
Merrylands West,0,0,4,1,1,0,1,0
Middle Cove,0,0,1,0,1,0,1,0
Miller,1,0,0,0,2,0,1,0
Millers Point,7,0,22,11,5,0,2,4
Milperra,0,0,1,0,0,0,1,0
Milsons Point,6,0,27,6,8,1,3,4
Minchinbury,0,0,1,0,0,0,4,0
Minto,0,0,3,0,2,0,0,3
Minto Heights,0,0,0,0,0,0,2,0
Miranda,1,0,24,1,1,0,12,1
Mirrabooka,0,0,0,1,0,0,0,0
Mittagong,0,0,4,1,2,0,1,0
Mona Vale,0,0,11,0,1,0,2,0
Monterey,0,0,2,0,5,0,0,0
Moore Park,9,0,7,1,3,2,3,1
Moorebank,0,0,1,0,0,0,0,0
Morisset,0,0,4,0,1,0,3,0
Mortdale,0,0,10,0,0,1,3,1
Mortlake,0,0,4,1,1,0,2,0
Mosman,1,0,11,2,2,0,4,0
Moss Vale,0,0,5,1,1,0,3,1
Mount Annan,0,0,8,0,2,0,8,0
Mount Colah,1,0,1,0,1,0,0,0
Mount Druitt,1,0,12,0,1,0,3,0
Mount Hutton,0,0,1,0,1,0,3,0
Mount Kuring-gai,0,0,1,0,0,0,1,0
Mount Lewis,0,0,5,0,1,0,1,0
Mount Ousley,1,0,0,0,1,0,0,0
Mount Pleasant,0,0,0,0,0,0,1,1
Mount Pritchard,0,0,2,0,0,0,0,0
Mount Riverview,0,0,0,0,2,0,0,0
Mount Saint Thomas,1,0,0,0,0,0,0,0
Mount Victoria,0,0,2,1,0,0,0,1
Mount Warrigal,0,0,1,0,0,0,2,0
Mulgoa,0,0,2,0,1,0,0,0
Mulgrave,0,0,3,0,0,0,4,0
Narara,0,0,0,0,1,0,3,0
Narellan,1,0,5,1,0,0,4,0
Narellan Vale,0,0,0,0,0,0,1,0
Naremburn,0,0,7,1,1,0,2,1
Narrabeen,0,0,6,0,2,0,3,1
Narraweena,0,0,1,0,1,0,2,0
Narwee,0,0,3,1,0,0,1,1
Neutral Bay,0,0,45,3,4,0,9,0
New Lambton,0,0,4,2,0,0,4,0
Newcastle West,1,0,10,2,4,0,4,2
Newington,2,0,1,0,2,0,1,0
Newport,0,0,3,0,1,0,1,0
Newtown,3,1,50,16,2,0,8,0
Niagara Park,0,0,0,0,1,0,2,1
Norah Head,0,0,0,0,1,0,0,0
Noraville,1,0,0,0,0,0,1,0
Normanhurst,0,0,2,0,0,0,0,2
North Avoca,0,0,1,0,1,0,0,0
North Balgowlah,0,0,2,0,1,0,0,0
North Bondi,0,0,13,3,0,0,5,1
North Curl Curl,0,0,1,0,2,0,1,0
North Epping,0,0,3,0,1,0,0,0
North Lambton,0,0,0,1,0,0,0,0
North Manly,0,0,0,0,4,0,0,0
North Narrabeen,0,0,1,0,1,0,1,0
North Parramatta,1,0,1,1,1,0,3,1
