loss,params,iteration,train_time
0.7211318487886932,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 3.695362998992356, 'random_strength': 2.4560496574838404, 'learning_rate': 0.022797168091315014, 'iterations': 200, 'depth': 9}",42,358.0707611990001
0.7132439004587374,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.698485679097168, 'random_strength': 1.9324301316193426, 'learning_rate': 0.029846767308671744, 'iterations': 200, 'depth': 9}",43,377.6112603529982
0.7107094689793243,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 4.752678256511214, 'random_strength': 3.0087351857566973, 'learning_rate': 0.046295726116508645, 'iterations': 200, 'depth': 10}",44,549.5780774539962
0.6862859571577439,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 5.364588982118785, 'random_strength': 2.5768770109228822, 'learning_rate': 0.11420464777025242, 'iterations': 200, 'depth': 8}",45,495.3524711600039
0.6886330566412988,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 5.646299391498871, 'random_strength': 3.8633752897343694, 'learning_rate': 0.09472244490558321, 'iterations': 200, 'depth': 9}",46,936.0034717200033
0.6750367430319288,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 9.411819470787016, 'random_strength': 2.307582217336979, 'learning_rate': 0.17046340522402098, 'iterations': 200, 'depth': 10}",47,4131.080647037998
0.6833533574375005,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 9.525926901630484, 'random_strength': 3.3500955289490877, 'learning_rate': 0.17196058031212255, 'iterations': 200, 'depth': 9}",48,1869.9793380600022
0.680636237416587,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 3.9894067130341813, 'random_strength': 4.316637688126593, 'learning_rate': 0.13975374292885978, 'iterations': 200, 'depth': 8}",49,499.78956994900363
0.7201835162985453,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.233428873430625, 'random_strength': 3.38969249580193, 'learning_rate': 0.017144927891412292, 'iterations': 200, 'depth': 9}",50,416.10666831101116
0.7078329485504203,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 8.871453396972598, 'random_strength': 2.25320467572043, 'learning_rate': 0.04166440632784091, 'iterations': 200, 'depth': 10}",51,584.4242155179963
